资本公积,441826419.40,0,0,154404949.24,154404949.24,154404949.24,154404949.24,32850647.48,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,-16643.92,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项储备,4213175.89,0,0,4335478.87,4429185.24,4561691.21,4716907.97,3973556.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,13865220.72,0,0,13865220.72,7804159.11,7606134.11,2117845.13,14595394.48,14595294.48,14595394.48,14595294.48,14595294.48,12206799.83,14595394.48,12206799.83,12206799.83,10645585.92,12206899.83,10645585.92,10645585.92,10645585.92,10645585.92,6975693.06,6975693.06,4369551.82,4369551.82,4369551.82,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,161951045.84,0,0,124847297.03,92659720.51,61225236.34,5506035.64,135502733.67,203472977.76,200089778.24,191207539.94,186510844.02,180022432.79,172095493.82,166224704.19,158846666.53,153111277.67,150599041.93,150843040.23,147285008.22,143711913.85,136547216.76,129330616.57,103518181.01,97898641.69,71518870.71,48049357.53,0,
归属于母公司股东权益合计,721855861.85,0,0,372452945.86,334298014.10,302798010.90,241745737.98,211822332.23,242951628.32,239568528.80,230686190.50,225989494.58,217112588.70,211574244.38,203314860.10,195936822.44,188640219.67,187689297.84,186371982.23,182813950.22,179240855.85,172076158.76,161189665.71,135377230.15,127151549.59,100771778.61,77302265.43,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,721855861.85,394806800.00,383724800.00,372452945.86,334298014.10,302798010.90,241745737.98,211822332.23,242951628.32,239568528.80,230686190.50,225989494.58,217112588.70,211574244.38,203314860.10,195936822.44,188640219.67,187689297.84,186371982.23,182813950.22,179240855.85,172076158.76,161189665.71,135377230.15,127151549.59,100771778.61,77302265.43,0,
负债和所有者权益(或股东权益)总计,1225492905.88,897442100.00,844506800.00,936206719.83,782147390.65,795015248.73,682101667.80,614813632.08,577216476.69,643712354.49,605070145.87,617780876.43,625386182.49,630730494.99,599650289.84,578386436.09,546525018.77,549840981.02,575586430.66,621303960.25,601293363.92,593339884.51,585899712.44,428448675.84,409120908.22,274985283.32,181277733.65,0,
