000902.SZ,新洋丰,15.12,5.587,a股
000908.SZ,景峰医药,4.73,0.425,a股
000912.SZ,泸天化,3.95,1.023,a股
000911.SZ,南宁糖业,7.74,-1.652,a股
000909.SZ,数源科技,8,3.359,a股
000910.SZ,大亚圣象,14.7,-2.065,a股
000918.SZ,嘉凯城,3.43,-1.153,a股
000917.SZ,电广传媒,4.85,0.832,a股
000919.SZ,金陵药业,7.2,-0.139,a股
000920.SZ,南方汇通,7.1,2.012,a股
000926.SZ,福星股份,5.01,1.212,a股
000922.SZ,佳电股份,8.59,1.059,a股
000921.SZ,海信家电,14.2,0.709,a股
000925.SZ,众合科技,6.07,3.231,a股
000923.SZ,河钢资源,27.6,0.145,a股
000927.SZ,*ST夏利,5.33,4.921,a股
000931.SZ,中关村,6.8,0,a股
000929.SZ,兰州黄河,10.53,-10,a股
000932.SZ,华菱钢铁,4.85,3.192,a股
000930.SZ,中粮科技,8.46,-3.093,a股
000928.SZ,中钢国际,4.71,2.391,a股
000933.SZ,神火股份,8.27,8.959,a股
000936.SZ,华西股份,8.25,-0.362,a股
000935.SZ,四川双马,12.48,0.322,a股
000948.SZ,南天信息,9.99,1.524,a股
000937.SZ,冀中能源,4.28,4.136,a股
000938.SZ,紫光股份,19.6,-1.606,a股
000955.SZ,欣龙控股,6.97,1.604,a股
000949.SZ,新乡化纤,3.25,2.848,a股
000950.SZ,重药控股,5.13,0.195,a股
000953.SZ,*ST河化,4.5,2.273,a股
000952.SZ,广济药业,7.5,-0.133,a股
000958.SZ,东方能源,5.02,10.088,a股
000951.SZ,中国重汽,30.5,0.197,a股
000957.SZ,中通客车,8.8,-3.72,a股
000959.SZ,首钢股份,3.94,3.412,a股
000960.SZ,锡业股份,11.36,7.474,a股
000961.SZ,中南建设,8.63,0.936,a股
000962.SZ,东方钽业,9.03,3.913,a股
000963.SZ,华东医药,28.1,-0.036,a股
000968.SZ,蓝焰控股,8.22,6.065,a股
000966.SZ,长源电力,4.26,5.446,a股
000965.SZ,天保基建,3.23,0.938,a股
000967.SZ,盈峰环境,8.19,-0.365,a股
000969.SZ,安泰科技,6.59,2.808,a股
000970.SZ,中科三环,9.49,2.153,a股
000971.SZ,*ST高升,2.31,1.316,a股
000976.SZ,华铁股份,5.35,1.326,a股
000973.SZ,佛塑科技,4.55,2.709,a股
000972.SZ,ST中基,2.31,2.212,a股
000975.SZ,银泰黄金,8.69,0.812,a股
000977.SZ,浪潮信息,25.15,-0.554,a股
000978.SZ,桂林旅游,4.55,0.22,a股
000980.SZ,*ST众泰,1.46,2.098,a股
000981.SZ,*ST银亿,2.4,0.84,a股
000983.SZ,山西焦煤,5.69,2.708,a股
000982.SZ,*ST中绒,1.08,0.935,a股
000985.SZ,大庆华科,13.1,1.002,a股
000987.SZ,越秀金控,14.03,2.036,a股
000988.SZ,华工科技,24.04,1.864,a股
000989.SZ,九芝堂,7.9,0.894,a股
000990.SZ,诚志股份,12.78,-0.156,a股
000993.SZ,闽东电力,7.43,10.074,a股
000996.SZ,中国中期,8.39,1.084,a股
000997.SZ,新大陆,15.12,0.935,a股
000998.SZ,隆平高科,19.08,-0.573,a股
000999.SZ,华润三九,24.97,0.04,a股
001696.SZ,宗申动力,7.7,5.048,a股
001872.SZ,招商港口,15.21,0.529,a股
001896.SZ,豫能控股,9.45,10.012,a股
001914.SZ,招商积余,21.18,-1.351,a股
001979.SZ,招商蛇口,12.98,-0.613,a股
002001.SZ,新和成,32.69,3.581,a股
002003.SZ,伟星股份,6.92,2.367,a股
002002.SZ,鸿达兴业,3.05,2.694,a股
002004.SZ,华邦健康,5.58,-3.627,a股
002008.SZ,大族激光,39.17,-1.385,a股
002006.SZ,精功科技,6.12,-1.766,a股
002007.SZ,华兰生物,42.38,0.665,a股
002011.SZ,盾安环境,3.75,0.807,a股
002009.SZ,天奇股份,10.46,2.549,a股
002010.SZ,传化智联,4.78,0,a股
002012.SZ,凯恩股份,5.47,0.923,a股
002013.SZ,中航机电,10.45,0,a股
002015.SZ,协鑫能科,6.55,4.8,a股
